aire_tipo,aire_capa,aire_dia,aire_hor,aire_anio,aire_ene,aire_feb,aire_mar,aire_abr,aire_may,aire_jun,aire_jul,aire_ago,aire_sep,aire_oct,aire_nov,aire_dic
5,5,90,8,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
5,5,90,7,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
5,5,90,4,5,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,3,210,24,4,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
1,3,60,8,2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
4,9,180,12,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,1,150,12,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
4,2,120,12,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,180,6,3,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,180,10,5,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,180,10,3,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,2,180,15,2,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,180,10,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,150,24,3,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,3,150,8,2,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,1,210,5,1,0.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,120,24,5,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,16,8,99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,120,1,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,4,180,24,10,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
