folio,foliohog,id_focos,foco_num,foco_hor,foco_min,foco_fluor,foco_led,foco_incan,foco_lugar_desc
53,1,1,0,0,0,0,0,0,La cocina
54,1,1,1,0,30,1,0,0,La cocina
54,1,6,2,0,30,2,0,0,La cochera o calle
54,1,7,1,0,5,1,0,0,Escaleras o pasillos interiores
54,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
54,1,4,3,0,30,3,0,0,Todas las recámaras
54,1,3,1,0,30,1,0,0,Todos los baños
54,1,2,2,0,30,2,0,0,Sala – Comedor
54,1,5,0,0,0,0,0,0,El patio
55,1,4,3,4,0,3,0,0,Todas las recámaras
55,1,3,1,1,0,1,0,0,Todos los baños
55,1,2,2,4,0,2,0,0,Sala – Comedor
55,1,1,1,2,0,1,0,0,La cocina
55,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
55,1,6,0,0,0,0,0,0,La cochera o calle
55,1,5,0,0,0,0,0,0,El patio
55,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
56,1,3,1,1,0,1,0,0,Todos los baños
56,1,2,2,0,10,2,0,0,Sala – Comedor
56,1,1,1,2,0,1,0,0,La cocina
56,1,4,3,0,30,3,0,0,Todas las recámaras
56,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
56,1,6,0,0,0,0,0,0,La cochera o calle
56,1,5,0,0,0,0,0,0,El patio
56,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
57,1,1,2,5,0,2,0,0,La cocina
57,1,2,2,1,0,0,2,0,Sala – Comedor
57,1,3,2,0,30,2,0,0,Todos los baños
57,1,4,3,0,30,0,3,0,Todas las recámaras
57,1,5,0,0,0,0,0,0,El patio
57,1,6,1,1,30,0,1,0,La cochera o calle
57,1,7,1,2,0,0,1,0,Escaleras o pasillos interiores
57,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
58,1,7,2,0,30,2,0,0,Escaleras o pasillos interiores
58,1,6,1,0,10,1,0,0,La cochera o calle
58,1,5,0,0,0,0,0,0,El patio
58,1,4,3,2,0,3,0,0,Todas las recámaras
58,1,3,2,1,0,2,0,0,Todos los baños
58,1,2,2,3,0,2,0,0,Sala – Comedor
58,1,1,1,6,0,1,0,0,La cocina
58,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
59,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
59,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
59,1,6,0,0,0,0,0,0,La cochera o calle
59,1,5,0,0,0,0,0,0,El patio
59,1,4,6,4,0,6,0,0,Todas las recámaras
59,1,3,2,1,0,2,0,0,Todos los baños
59,1,1,1,3,0,1,0,0,La cocina
59,1,2,4,4,0,4,0,0,Sala – Comedor
60,1,1,1,3,0,1,0,0,La cocina
60,1,2,5,3,0,5,0,0,Sala – Comedor
60,1,3,2,2,0,2,0,0,Todos los baños
60,1,4,3,2,0,3,0,0,Todas las recámaras
60,1,5,0,0,0,0,0,0,El patio
60,1,6,1,2,0,1,0,0,La cochera o calle
60,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
60,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
61,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
61,1,6,0,0,0,0,0,0,La cochera o calle
61,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
61,1,1,1,1,0,1,0,0,La cocina
61,1,2,1,0,30,1,0,0,Sala – Comedor
61,1,3,1,0,30,1,0,0,Todos los baños
61,1,4,3,2,0,3,0,0,Todas las recámaras
61,1,5,0,0,0,0,0,0,El patio
62,1,1,1,4,0,1,0,0,La cocina
62,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
62,1,6,0,0,0,0,0,0,La cochera o calle
62,1,5,1,0,20,1,0,0,El patio
62,1,4,3,8,0,3,0,0,Todas las recámaras
62,1,3,1,2,0,1,0,0,Todos los baños
62,1,2,0,0,0,0,0,0,Sala – Comedor
62,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
63,1,4,3,1,0,3,0,0,Todas las recámaras
63,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
63,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
63,1,6,1,0,10,1,0,0,La cochera o calle
63,1,5,1,0,15,1,0,0,El patio
63,1,3,2,1,0,2,0,0,Todos los baños
63,1,2,1,3,0,1,0,0,Sala – Comedor
63,1,1,1,3,0,1,0,0,La cocina
64,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
64,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
64,1,6,1,4,0,1,0,0,La cochera o calle
64,1,5,1,0,10,1,0,0,El patio
64,1,1,1,5,0,1,0,0,La cocina
64,1,2,2,4,0,2,0,0,Sala – Comedor
64,1,3,1,2,0,1,0,0,Todos los baños
64,1,4,3,4,0,3,0,0,Todas las recámaras
65,1,6,2,1,0,2,0,0,La cochera o calle
65,1,5,0,0,0,0,0,0,El patio
65,1,7,2,2,0,2,0,0,Escaleras o pasillos interiores
65,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
65,1,4,3,4,0,3,0,0,Todas las recámaras
