folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
155,1,1,1,1,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
156,1,1,1,9,1,3,1,De gas con deposito,Nuevo,Cada 6 meses,No sabe
157,1,1,1,1,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
158,1,1,1,9,1,99,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
159,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
160,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
161,1,1,5,5,1,4,1,Eléctrico con depósito,Nuevo,Cada 6 meses,De 120 a 140 litros (hasta 7 personas)
162,1,1,7,3,1,3,2,Solar,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
163,1,1,1,3,1,2,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
165,1,1,1,4,1,10,1,De gas con deposito,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
166,1,1,7,3,1,2,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
168,1,1,7,4,1,3,2,Solar,Nuevo,Cada año,De 90 a 110 litros (hasta 6 personas)
169,1,1,7,4,1,10,3,Solar,Nuevo,Cada 2 años,De 90 a 110 litros (hasta 6 personas)
170,1,1,1,2,1,4,3,De gas con deposito,Nuevo,Cada 2 años,De 50 a 60 litros (hasta 3 personas)
171,1,1,2,0,1,1,4,De gas de rápida recuperación,Nuevo,No le da mantenimiento,
172,1,2,3,0,1,5,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
172,1,1,3,0,1,5,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
173,1,1,1,3,1,15,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
174,1,1,2,0,1,2,1,De gas de rápida recuperación,Nuevo,Cada 6 meses,
174,1,2,7,5,1,5,1,Solar,Nuevo,Cada 6 meses,De 120 a 140 litros (hasta 7 personas)
175,1,1,3,0,2,6,2,De gas instantáneo de paso,Usado,Cada año,
