folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant
1095,1,1,4, ,1,14,4
1097,1,1,4, ,1,3,1
1099,1,1,4, ,1,6,4
1100,1,1,1,4,2,1,2
1101,1,1,3, ,1,3,4
1106,1,1,3, ,1,1,4
1107,1,1,2, ,1,1,4
1108,1,1,5,4,1,10,4
1110,1,1,1,2,2,1,4
1111,1,1,3, ,2,5,4
1113,1,1,3, ,1,8,1
1114,1,1,4, ,1,5,4
1116,1,1,1,4,2,2,2
1120,1,1,3, ,1,3,2
1121,1,1,1,2,2,10,2
1122,1,1,5,4,1,14,4
1123,1,1,1,1,2,5,2
1124,1,1,5,2,1,1,4
1125,1,1,4, ,1,1,2
1126,1,1,3, ,1,6,2
1127,1,1,5,1,1,5,1
1128,1,1,5,1,1,5,4
1131,1,1,5,1,1,7,4
1133,1,1,3, ,1,3,4
1135,1,1,1,4,1,5,2
1137,1,1,5,2,1,4,4
1138,1,1,4, ,1,5,4
1139,1,1,4, ,1,9,4
1140,1,1,4, ,1,1,4
1141,1,1,5,1,1,1,1
1142,1,1,4, ,2,1,4
1143,1,1,3, ,1,1,4
1144,1,1,3, ,1,2,2
1145,1,1,3, ,1,5,4
1146,1,1,1,3,1,10,3
1147,1,1,3, ,1,3,4
1148,1,1,3, ,1,3,4
1149,1,1,3, ,1,10,3
1153,1,1,3, ,1,1,4
1155,1,1,3, ,1,3,2
1156,1,1,3, ,1,3,1
1157,1,1,3, ,1,2,4
1158,1,1,3, ,1,3,4
1161,1,1,3, ,1,2,4
1162,1,1,3, ,1,1,4
1166,1,1,1,1,1,3,2
1167,1,1,5,3,1,10,1
1168,1,1,1,4,1,10,1
1169,1,1,1,4,1,3,4
1172,1,1,5,2,1,2,4
1173,1,1,5,4,1,6,4
1178,1,1,1,4,1,4,1
1179,1,1,3, ,1,2,4
1180,1,1,3, ,1,5,4
1181,1,1,1,4,2,3,1
1182,1,1,1,1,2,99,1
1183,1,1,4, ,1,3,4
1184,1,1,3, ,1,2,4
1185,1,1,3, ,1,1,4
1186,1,1,1,3,1,10,1
1192,1,1,2, ,1,6,1
1193,1,1,1,1,1,3,1
1194,1,1,1,3,1,8,1
1195,1,1,3, ,1,1,4
1199,1,1,3, ,1,2,4
1200,1,1,3, ,1,5,1
1201,1,1,1,3,1,3,1
1203,1,1,3, ,1,2,4
1204,1,1,2, ,2,99,4
1205,1,1,1,2,1,10,2
1209,1,1,3, ,1,1,4
1210,1,1,3, ,1,1,1
1211,1,1,3, ,1,4,2
1212,1,1,3, ,1,1,4
1213,1,1,3, ,2,1,4
1215,1,1,3, ,1,1,4
1216,1,1,3, ,1,3,4
1219,1,1,1,3,1,12,4
1220,1,1,3, ,1,8,1
1222,1,1,3, ,1,2,4
1225,1,1,3, ,1,4,4
1226,1,1,2, ,1,3,1
1227,1,1,3, ,1,5,2
1228,1,1,3, ,1,2,1
1229,1,1,3, ,1,1,4
1230,1,1,1,2,2,99,3
1231,1,1,1,2,2,2,4
1232,1,1,3, ,1,4,4
1234,1,1,1,2,1,10,1
1240,1,1,3, ,1,2,4
1241,1,1,3, ,1,4,2
1242,1,1,1,3,2,5,2
1244,1,1,4, ,1,7,2
1245,1,1,1,3,2,10,4
1246,1,1,1,5,1,6,4
1247,1,1,1,2,1,6,4
1249,1,1,3, ,2,2,4
1250,1,1,1,4,2,3,2
1251,1,1,1,4,1,10,1
1252,1,1,1,4,2,7,2
1253,1,1,3, ,2,1,4
1254,1,1,3, ,1,3,4
1255,1,1,1,1,1,4,4
1256,1,1,1,1,1,6,4
1257,1,1,1,3,2,15,4
1258,1,1,1,1,1,3,4
1259,1,1,1,3,1,1,4
1260,1,1,3, ,1,3,4
1261,1,1,1,1,2,3,4
1267,1,1,2, ,1,8,1
1268,1,1,4, ,2,99,4
1269,1,1,1,1,1,8,1
1270,1,1,1,3,2,8,1
1271,1,1,1,2,1,2,4
1275,1,1,5,9,2,99,4
1276,1,1,1,9,1,10,1
1278,1,1,1,1,1,1,1
1279,1,1,1,1,1,1,4
1280,1,1,1,1,2,1,4
1281,1,1,2, ,2,1,4
1282,1,1,1,1,2,2,4
1284,1,1,1,4,1,7,4
1285,1,1,3, ,1,1,4
1286,1,1,3, ,1,6,4
1287,1,1,3, ,1,5,4
1288,1,1,3, ,1,1,4
1289,1,1,1,2,1,7,4
1290,1,1,3, ,1,5,3
1291,1,1,3, ,2,2,4
1294,1,1,3, ,1,6,4
1296,1,1,1,2,1,2,4
1297,1,1,3, ,1,1,1
1298,1,1,3, ,1,1,4
1299,1,1,3, ,1,1,4
1300,1,1,3, ,1,3,4
1301,1,1,1,1,2,4,4
1305,1,1,3, ,1,3,2
1308,1,1,3, ,1,5,4
1310,1,1,3, ,1,3,1
1313,1,1,3, ,1,2,1
1315,1,1,3, ,1,6,3
1316,1,1,3, ,1,4,4
1317,1,1,3, ,1,4,2
1320,1,1,3, ,1,1,4
1321,1,1,3, ,1,3,4
1322,1,1,3, ,1,4,4
1323,1,1,3, ,1,7,4
1324,1,1,1,3,1,10,1
1325,1,1,3, ,1,3,4
1327,1,1,3, ,1,2,4
1331,1,1,3, ,1,1,4
1332,1,1,3, ,1,1,4
1333,1,1,1,1,1,1,2
1335,1,1,1,3,1,2,1
1337,1,1,3, ,1,2,1
1338,1,1,3, ,1,6,2
1340,1,1,3, ,1,1,4
1342,1,1,1,1,1,2,1
1343,1,1,2, ,1,3,4
1344,1,1,5,9,1,5,1
1345,1,1,3, ,1,10,2
1346,1,1,5,9,1,3,4
1348,1,1,1,6,1,10,1
1349,1,1,3, ,1,6,4
1352,1,1,3, ,1,3,4
1353,1,1,3, ,1,1,4
1354,1,1,3, ,1,3,1
1357,1,1,3, ,1,1,4
1359,1,1,3, ,1,8,3
1361,1,1,1,2,1,7,4
1362,1,1,3, ,1,5,2
1363,1,1,1,9,1,99,1
1364,1,1,3, ,1,4,4
1365,1,1,1,9,1,5,3
1366,1,1,1,4,2,99,4
1368,1,1,1,2,1,7,4
1369,1,1,1,3,1,10,4
1370,1,1,1,4,1,5,4
1371,1,1,3, ,1,4,4
1372,1,1,3, ,1,5,4
1373,1,1,1,3,1,3,3
1374,1,1,3, ,1,8,2
1376,1,1,3, ,2,99,4
1377,1,1,1,5,2,15,3
1378,1,1,3, ,1,1,4
1385,1,1,1,1,1,7,4
1387,1,1,3, ,1,2,4
1389,1,1,5,1,1,4,4
1394,1,1,3, ,1,1,4
1395,1,1,1,3,1,6,1
