folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio
6288,1,1,2, ,120,24,00,2,06
6291,1,1,2, ,2,10,00,1,05
6292,1,1,3, ,90,01,00,2,03
6293,1,1,1, ,8,00,30,1,05
6294,1,1,4, ,60,08,00,1,04
6299,1,1,4, ,90,01,00,1,13
6300,1,2,5,MINISPLET,120,05,00,1,01
6300,1,1,4, ,120,24,00,1,10
6302,1,1,4, ,90,05,00,2,99
6303,1,1,4, ,2,05,00,2,30
6304,1,4,4, ,30,04,00,1,01
6304,1,3,4, ,120,08,00,1,05
6304,1,2,4, ,60,06,00,1,05
6304,1,1,1, ,60,03,00,1,05
6305,1,1,4, ,20,01,00,1,15
6306,1,1,5,CALEFACCION CENTRAL UTILIZA GAS Y ELECTRICIDAD,120,08,00,1,02
6307,1,1,4, ,60,04,00,1,01
6308,1,1,4, ,60,03,00,1,15
6308,1,2,4, ,60,04,00,1,10
6311,1,1,4, ,90,08,00,1,04
6312,1,1,5,CALENTON DE LEÑA,30,02,00,2,10
6313,1,1,4, ,30,04,00,2,99
6314,1,2,4, ,90,03,00,1,02
6314,1,1,4, ,120,04,00,1,05
6315,1,1,5,CALENTON LEÑA,60,04,00,1,12
6316,1,1,4, ,60,02,00,2,25
6316,1,2,4, ,90,04,00,1,15
6316,1,3,4, ,90,03,00,1,05
6317,1,2,4, ,60,05,00,1,05
6317,1,1,4, ,60,05,00,1,12
6319,1,1,4, ,120,05,00,1,09
6320,1,1,4, ,60,06,00,1,04
6322,1,1,4, ,60,04,00,1,08
6323,1,1,5,DE ACEITE 0 CERAMICA,60,06,00,1,06
6324,1,1,4, ,90,02,00,1,05
6329,1,1,5,CALENTON DE LE?A,30,04,00,1,17
6333,1,1,4, ,120,14,00,1,02
6333,1,2,4, ,120,14,00,1,02
6335,1,1,4, ,90,02,00,1,09
6339,1,1,4, ,80,05,00,2,01
6340,1,2,4, ,120,04,00,2,15
6340,1,1,4, ,120,05,00,2,15
6346,1,1,4, ,100,02,00,1,05
6347,1,1,4, ,30,02,00,1,40
6348,1,1,4, ,90,08,00,1,10
6351,1,1,4, ,90,03,00,1,08
6352,1,1,2, ,120,09,00,1,10
6353,1,1,4, ,60,06,00,1,06
6353,1,2,4, ,90,04,00,1,10
6354,1,1,2, ,60,04,00,2,02
6355,1,1,5,CALENTON DE LE?A,50,04,00,2,03
6356,1,1,4, ,60,02,00,1,06
6357,1,1,4, ,60,04,00,2,08
6359,1,1,5,CALEFACCION CENTRAL,30,02,00,1,08
6361,1,1,4, ,60,04,00,1,10
6362,1,1,2, ,75,00,45,1,05
6363,1,1,4, ,60,02,00,1,04
6364,1,1,4, ,60,02,00,1,10
6365,1,1,4, ,60,04,00,1,03
6366,1,1,5,CENTRAL,8,02,00,1,15
6367,1,2,4, ,15,02,00,1,10
6367,1,1,4, ,30,03,00,1,15
6368,1,1,4, ,10,01,00,1,08
6368,1,2,4, ,15,00,20,1,08
6370,1,1,4, ,120,02,00,1,98
6370,1,2,4, ,120,05,00,1,06
6370,1,3,4, ,90,03,00,1,02
6370,1,4,4, ,90,02,00,1,03
6373,1,1,5,CALENTADOR DE LE?A,60,02,00,1,03
