folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
165,1,1,3,3,7,01,00, , ,3, , ,03
166,1,1,3,2,7,03,00, ,2,3, , ,02
167,1,1,4,1,7,05,00, ,2,3, , ,05
167,1,2,4,1,7,05,00, ,2,3, , ,10
168,1,1,3,3,7,01,00, , ,3, , ,03
169,1,3,2,4,2,02,00, , ,3, , ,05
169,1,1,2,4,7,02,00, , ,3, , ,04
169,1,2,2,4,7,02,00, , ,3, , ,04
170,1,2,2,4,7,01,00, , ,3, , ,03
170,1,3,2,2,7,02,00, , ,3, , ,05
170,1,1,2,3,7,04,00,1, ,3, , ,01
171,1,1,2,4,7,03,00, , ,3, , ,02
172,1,1,2,4,7,01,00, , ,3, , ,05
172,1,2,2,3,7,02,00, ,2, , , ,05
173,1,1,3,2,7,01,00, , ,3, , ,05
174,1,1,2,2,4,01,00, , ,3, , ,02
175,1,2,3,3,7,02,00, , ,3, , ,03
175,1,3,3,2,3,01,00, , ,3, , ,05
175,1,1,2,5,7,02,00, , ,3, , ,02
176,1,1,3,2,5,01,00, , ,3, , ,01
177,1,3,2,1,7,03,30, , ,3, , ,02
177,1,2,2,2,7,02,00, , ,3, , ,05
177,1,1,2,2,7,04,00, , ,3, , ,02
178,1,2,2,3,7,03,00,1, ,3, , ,01
178,1,1,2,1,7,01,00, , ,3, , ,07
179,1,1,3,3,4,01,00, , ,3, , ,02
179,1,2,2,3,1,05,00, ,2, , , ,04
179,1,3,3,3,7,02,00, , ,3, , ,01
179,1,4,2,2,1,05,00, , ,3, , ,08
180,1,1,3,2,7,02,00, , ,3, , ,10
180,1,2,4,1,7,02,00, , ,3, , ,20
181,1,1,3,3,3,01,00, , ,3, , ,03
182,1,1,4,1,7,14,00,1,2,3, , ,12
183,1,2,3,2,7,01,00, , , ,4, ,10
183,1,1,3,3,7,02,09, , ,3, , ,05
184,1,1,4,1,7,04,00, , ,3, , ,15
185,1,1,2,2,7,03,00, , ,3, , ,02
186,1,1,2,2,7,03,00, , ,3, , ,02
187,1,1,2,4,7,02,00, , ,3, , ,01
188,1,1,2,2,1,01,00, , ,3, , ,02
189,1,1,2,4,7,03,00, , ,3, , ,03
189,1,2,2,3,7,01,00, , ,3, , ,04
190,1,1,3,1,7,01,00, ,2, , , ,03
191,1,1,2,1,7,04,00, ,2,3, , ,05
191,1,2,2,1,7,04,00, , ,3, , ,05
192,1,1,2,4,7,03,00, , ,3, , ,02
193,1,2,4,1,7,03,00, , ,3, , ,09
193,1,1,4,1,7,05,00, ,2,3, , ,06
194,1,1,2,2,7,12,00,1,2,3, , ,04
194,1,2,4,2,2,03,00, , ,3, , ,08
196,1,2,4,1,7,01,40, , ,3, , ,05
196,1,3,4,1,7,01,00, , ,3, , ,06
196,1,1,2,1,7,04,00, ,2,3, , ,03
197,1,1,2,1,7,00,30, , ,3, , ,04
198,1,1,2,3,7,04,00, , ,3, , ,04
198,1,2,4,1,3,03,00, , ,3, , ,10
200,1,1,4,3,7,03,00, ,2, , , ,04
200,1,2,2,2,3,02,00, , ,3, , ,01
201,1,1,2,3,7,14,00,1,2,3,4, ,02
202,1,1,4,3,7,03,00, , ,3, , ,14
203,1,1,2,3,7,01,00, , ,3, , ,03
203,1,2,2,3,7,02,00, , ,3, , ,03
204,1,1,2,3,7,05,00, , ,3, , ,03
204,1,2,3,3,7,08,00,1,2,3, , ,01
205,1,1,3,2,7,04,00, , ,3, , ,02
205,1,2,3,2,7,02,00, , ,3, , ,02
206,1,1,4,2,7,02,00, , ,3, , ,10
207,1,2,3,1,7,02,00,1, ,3, , ,02
207,1,1,3,2,7,04,00,1, ,3, , ,02
208,1,1,3,2,7,04,00, , ,3, , ,03
208,1,2,3,2,7,01,30, , ,3, , ,01
209,1,1,4,1,7,02,00, , ,3, , ,07
210,1,1,2,3,7,04,00, , ,3, , ,01
211,1,1,2,2,7,03,00, ,2,3, , ,04
212,1,2,4,1,1,02,00, , ,3, , ,03
212,1,1,4,1,7,08,00, ,2,3, , ,05
213,1,1,3,2,7,03,00, , ,3, , ,02
214,1,1,2,1,7,06,00, ,2,3, , ,01
215,1,1,2,2,7,05,00,1, ,3, , ,05
215,1,2,2,2,7,02,00, , ,3, , ,03
216,1,2,2,3,4,02,00, , ,3, , ,03
216,1,1,2,2,7,02,00, ,2, , , ,02
217,1,1,2,1,7,01,00, , ,3, , ,02
217,1,2,2,1,7,02,00, , ,3, , ,04
218,1,2,4,1,4,02,30, , ,3, , ,03
218,1,1,4,1,7,04,00, ,2,3, , ,02
220,1,1,2,2,7,02,00, , ,3, , ,03
220,1,2,2,2,7,02,00, , ,3, , ,03
221,1,1,3,3,4,03,00, ,2, , , ,02
221,1,2,3,3,7,01,00, , ,3, , ,02
221,1,3,3,3,3,02,00, , ,3, , ,02
222,1,1,2,3,7,02,00, , ,3, , ,01
223,1,1,3,2,7,04,00, , ,3, , ,02
223,1,2,3,1,7,03,00, , ,3, , ,01
223,1,3,4,1,2,00,30, , ,3, , ,10
224,1,1,3,4,7,03,00, ,2, , , ,06
225,1,1,3,3,7,08,00, ,2,3, , ,03
226,1,1,3,1,3,02,00, , ,3, , ,03
227,1,1,3,2,7,05,00, ,2,3, , ,06
227,1,2,3,2,7,04,00, , ,3, , ,03
227,1,3,3,2,7,08,00, ,2,3, , ,02
228,1,1,9,2,7,03,00, , ,3, , ,99
230,1,1,3,1,7,02,00, , ,3, , ,01
